Time,BLOCK,BEAT,WARD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,INCOME,ZIPCODE,KIDNAP
18,063XX S DR MARTIN LUTHER KING JR DR,312,20,1180014,1862897,41.77905969,-87.6155965,"(41.779059693, -87.615596501)",22835 ,60637,1
20,048XX S RIDGEWAY AVE,821,14,1152185,1872218,41.80523,-87.71737601,"(41.805230001, -87.717376012)",22835 ,60632,1
15,036XX W SCHOOL ST,1732,35,1151339,1921694,41.94101426,-87.71918048,"(41.941014259, -87.719180478)",22835 ,60618,1
17,003XX W DIVISION ST,1821,43,1173911,1908313,41.9038225,-87.63661991,"(41.903822498, -87.63661991)",26299 ,60610,1
7,014XX W GARFIELD BLVD,934,16,1167451,1868269,41.79407962,-87.66149965,"(41.794079624, -87.66149965)",26997 ,60609,1
15,058XX W BRYN MAWR AVE,1622,45,1136466,1936863,41.98291883,-87.77348081,"(41.98291883, -87.773480813)",26997 ,60630,1
15,009XX E 83RD ST,631,8,1184112,1850165,41.744027,-87.60097041,"(41.744026995, -87.600970413)",27080 ,60619,1
8,024XX W 79TH ST,835,18,1161335,1852165,41.75001695,-87.68437239,"(41.750016947, -87.684372394)",27080 ,60652,1
21,040XX W LAKE ST,1114,28,1149512,1901446,41.88548754,-87.72642205,"(41.885487535, -87.726422045)",32379 ,60624,1
7,015XX N SPRINGFIELD AVE,2535,30,1150099,1909855,41.90855128,-87.72404716,"(41.908551279, -87.724047157)",32494 ,60651,1
18,056XX N MC VICKER AVE,1622,45,1134899,1937015,41.98336389,-87.77924038,"(41.983363893, -87.779240382)",32494 ,60646,1
8,046XX S ROCKWELL ST,922,12,1159807,1873991,41.80994204,-87.68937274,"(41.809942043, -87.689372741)",32494 ,60632,1
8,085XX S INGLESIDE AVE,632,8,1184042,1848646,41.73986033,-87.60127425,"(41.739860331, -87.601274245)",32494 ,60619,1
17,071XX W CARMEN AVE,1613,41,1127906,1933449,41.97369968,-87.80504072,"(41.973699684, -87.805040715)",32494 ,60656,1
14,013XX N HOMAN AVE,1422,26,1153458,1908525,41.9048355,-87.71174316,"(41.904835501, -87.711743161)",32557 ,60651,1
17,063XX W BARRY AVE,2511,36,1133703,1919934,41.93651305,-87.78404182,"(41.936513049, -87.784041817)",32747 ,60634,1
8,060XX N WESTERN AVE,2413,40,1159227,1939947,41.99094269,-87.68968508,"(41.99094269, -87.689685077)",34153 ,60659,1
16,065XX S KENWOOD AVE,321,20,1186196,1861799,41.77590286,-87.59296766,"(41.77590286, -87.592967657)",34153 ,60637,1
17,052XX W MONTROSE AVE,1624,38,1140531,1928751,41.96058494,-87.75873051,"(41.960584941, -87.758730508)",34153 ,60641,1
14,055XX W DRUMMOND PL,2514,30,1138922,1917069,41.92855782,-87.76493089,"(41.928557824, -87.764930888)",35112 ,60639,1
16,116XX S STATE ST,522,34,1178341,1827629,41.68231802,-87.62279716,"(41.682318023, -87.62279716)",35112 ,60628,1
18,090XX S VINCENNES AVE,2222,21,1171434,1844842,41.72970665,-87.64757905,"(41.729706654, -87.647579047)",37038 ,60620,1
17,023XX N MOODY AVE,2512,29,1135022,1914792,41.92237952,-87.77931636,"(41.922379524, -87.779316361)",37038 ,60639,1
18,052XX N NORTHWEST HWY,1622,45,1137215,1934529,41.97650067,-87.77078248,"(41.976500668, -87.770782484)",37038 ,60630,1
19,067XX N WHIPPLE ST,2412,50,1154814,1944555,42.00367711,-87.70579301,"(42.003677114, -87.705793011)",37038 ,60645,1
18,045XX N ST LOUIS AVE,1723,33,1152239,1929850,41.96337717,-87.71565658,"(41.963377165, -87.715656575)",38196 ,60625,1
8,002XX W 108TH ST,513,34,1176536,1833321,41.69797838,-87.62923419,"(41.697978381, -87.629234186)",38196 ,60628,1
18,024XX W ROOSEVELT RD,1135,28,1160388,1894644,41.8666042,-87.68667139,"(41.866604199, -87.686671389)",38686 ,60608,1
15,092XX S COTTAGE GROVE AVE,633,9,1183173,1844063,41.7273043,-87.60460028,"(41.727304299, -87.604600275)",38686 ,60619,1
7,078XX S KEDZIE AVE,835,18,1156414,1852165,41.75011739,-87.70240525,"(41.750117385, -87.702405246)",38686 ,60652,1
11,052XX N LINCOLN AVE,2011,40,1158514,1934867,41.97701762,-87.69244749,"(41.977017622, -87.692447486)",38825 ,60625,1
19,040XX W CHICAGO AVE,1111,37,1149327,1905039,41.8953507,-87.72700817,"(41.8953507, -87.727008172)",40095 ,60651,1
7,042XX W 87TH ST,834,18,1149753,1846514,41.73474148,-87.72696033,"(41.73474148, -87.726960334)",48750 ,60456,1
12,027XX N LONG AVE,2514,31,1139908,1917674,41.93020002,-87.76129279,"(41.930200015, -87.761292788)",48786 ,60639,1
9,029XX W LUNT AVE,2411,50,1155524,1946278,42.00839078,-87.70313427,"(42.008390784, -87.703134266)",48786 ,60645,1
17,013XX N HUDSON AVE,1821,27,1173068,1909520,41.90715332,-87.63968057,"(41.907153315, -87.639680572)",48877 ,60610,1
9,010XX W 31ST ST,913,11,1169867,1884281,41.83796604,-87.65217488,"(41.837966038, -87.652174879)",48877 ,60608,1
15,036XX N LARAMIE AVE,1634,38,1141056,1923523,41.94622915,-87.75692959,"(41.946229154, -87.756929594)",48877 ,60641,1
4,053XX N MEADE AVE,1622,45,1134453,1935033,41.97793301,-87.78092773,"(41.977933013, -87.780927725)",50237 ,60630,1
8,004XX N CICERO AVE,1532,28,1144282,1902732,41.88911637,-87.74559546,"(41.889116365, -87.74559546)",54400 ,60644,1
16,0000X E 115TH ST,532,9,1178623,1828731,41.68533569,-87.62173156,"(41.685335687, -87.621731559)",55324 ,60628,1
16,062XX S MARSHFIELD AVE,714,15,1166413,1863229,41.78027144,-87.66544951,"(41.780271439, -87.665449512)",55324 ,60636,1
9,013XX N PULASKI RD,2535,27,1149469,1908763,41.90556698,-87.72638987,"(41.90556698, -87.726389872)",55831 ,60651,1
8,098XX S PARNELL AVE,2223,21,1174365,1839691,41.71550702,-87.63699463,"(41.715507018, -87.636994629)",56763 ,60628,1
8,065XX N WHIPPLE ST,2412,50,1154820,1943117,41.99973106,-87.70580971,"(41.99973106, -87.705809711)",56763 ,60645,1
8,029XX N MELVINA AVE,2511,29,1134558,1918959,41.93382247,-87.78092263,"(41.933822465, -87.780922626)",56763 ,60634,1
15,041XX W HIRSCH ST,2534,37,1148380,1908997,41.90623017,-87.73038413,"(41.906230174, -87.730384132)",57252 ,60651,1
15,079XX S LAWNDALE AVE,834,18,1153095,1851798,41.74917642,-87.71457734,"(41.749176418, -87.71457734)",57252 ,60652,1
20,037XX N WESTERN AVE,1921,47,1159707,1924865,41.94954704,-87.68833717,"(41.949547042, -87.688337168)",57252 ,60618,1
8,090XX S COMMERCIAL AVE,423,10,1197712,1845700,41.73144626,-87.55128834,"(41.731446259, -87.551288344)",60315 ,60617,1
14,023XX W SUNNYSIDE AVE,1911,47,1159771,1929822,41.963148,-87.68796469,"(41.963148, -87.68796469)",62859 ,60625,1
20,058XX S ASHLAND AVE,715,15,1166675,1865826,41.78739234,-87.66441491,"(41.787392342, -87.664414907)",62859 ,60636,1
9,007XX S CENTRAL PARK AVE,1133,24,1152503,1896307,41.871327,-87.71557428,"(41.871326998, -87.715574284)",62859 ,60624,1
9,009XX E 132ND ST,533,9,1185001,1818059,41.65590328,-87.59871649,"(41.655903283, -87.598716488)",62859 ,60827,1
19,062XX N NORMANDY AVE,1611,41,1131024,1941071,41.99456183,-87.79339812,"(41.994561832, -87.793398118)",62927 ,60631,1
20,041XX W 57TH ST,813,13,1149677,1866482,41.7895385,-87.72672289,"(41.789538503, -87.726722889)",63905 ,60629,1
9,005XX N MONTICELLO AVE,1122,27,1151956,1903377,41.89073862,-87.71739625,"(41.890738616, -87.717396251)",63905 ,60624,1
2,016XX N MILWAUKEE AVE,1434,32,1162486,1910860,41.91105861,-87.67851512,"(41.91105861, -87.678515119)",63905 ,60647,1
23,059XX S MELVINA AVE,811,23,1136076,1864580,41.78457159,-87.77663969,"(41.784571587, -87.776639688)",72086 ,60638,1
16,113XX S HALE AVE,2212,19,1165026,1829389,41.68743878,-87.67148851,"(41.687438778, -87.671488508)",74186 ,60643,1
15,060XX W FOSTER AVE,1622,45,1134832,1934208,41.97566242,-87.77955354,"(41.975662422, -87.779553543)",75700 ,60630,1
19,036XX N WHIPPLE ST,1733,33,1155404,1924093,41.94751639,-87.70417529,"(41.947516392, -87.704175293)",75700 ,60618,1
2,,,,,,,,,72086 ,60646,0
2,,,,,,,,,62859 ,60630,0
15,,,,,,,,,27080 ,60636,0
10,,,,,,,,,55831 ,60656,0
10,,,,,,,,,46423 ,60640,0
20,,,,,,,,,62859 ,60630,0
11,,,,,,,,,69032 ,60613,0
7,,,,,,,,,69032 ,60613,0
1,,,,,,,,,32494 ,60651,0
7,,,,,,,,,101250 ,60601,0
20,,,,,,,,,37109 ,60626,0
21,,,,,,,,,63905 ,60652,0
14,,,,,,,,,62859 ,60630,0
22,,,,,,,,,54400 ,60647,0
8,,,,,,,,,48877 ,60645,0
5,,,,,,,,,29075 ,60623,0
24,,,,,,,,,37038 ,60628,0
4,,,,,,,,,38196 ,60632,0
11,,,,,,,,,62927 ,60638,0
24,,,,,,,,,32557 ,60620,0
3,,,,,,,,,82777 ,60605,0
4,,,,,,,,,32494 ,60651,0
8,,,,,,,,,43452 ,60633,0
0,,,,,,,,,55324 ,60634,0
8,,,,,,,,,111125 ,60603,0
19,,,,,,,,,72086 ,60646,0
8,,,,,,,,,48786 ,60641,0
3,,,,,,,,,55324 ,60634,0
17,,,,,,,,,25343 ,60653,0
3,,,,,,,,,63905 ,60652,0
14,,,,,,,,,82777 ,60605,0
19,,,,,,,,,46423 ,60640,0
19,,,,,,,,,101250 ,60601,0
1,,,,,,,,,26299 ,60644,0
13,,,,,,,,,88256 ,60614,0
8,,,,,,,,,27080 ,60636,0
3,,,,,,,,,40835 ,60660,0
6,,,,,,,,,88256 ,60614,0
17,,,,,,,,,78796 ,60657,0
4,,,,,,,,,70188 ,60618,0
0,,,,,,,,,70188 ,60642,0
13,,,,,,,,,27723 ,60649,0
22,,,,,,,,,62927 ,60638,0
14,,,,,,,,,34153 ,60619,0
15,,,,,,,,,101250 ,60601,0
2,,,,,,,,,48877 ,60645,0
11,,,,,,,,,55324 ,60634,0
23,,,,,,,,,71019 ,60622,0
0,,,,,,,,,25343 ,60653,0
17,,,,,,,,,82777 ,60605,0
19,,,,,,,,,51420 ,60706,0
20,,,,,,,,,40196 ,60615,0
1,,,,,,,,,50237 ,60659,0
12,,,,,,,,,50237 ,60659,0
9,,,,,,,,,29075 ,60623,0
3,,,,,,,,,37038 ,60628,0
3,,,,,,,,,40835 ,60660,0
20,,,,,,,,,63905 ,60652,0
22,,,,,,,,,55831 ,60656,0
4,,,,,,,,,86598 ,60655,0
3,,,,,,,,,107819 ,60606,0
21,,,,,,,,,74186 ,60631,0
6,,,,,,,,,37109 ,60626,0
5,,,,,,,,,38196 ,60632,0
